nickel(II) sulfide                              1551          PABA                            1049
nickel(II) sulfite                              1552          PAC                             1603
nickel(II) tartrate                             1553          palm kernel oil                 1579
(S)-(-)-nicotine                                1554          palm seed oil                   1579
nicotinic acid                                  1555          palmitic acid                   1578
nitric acid                                     1621          paraffin oil                    1694
"2,2’,2’’-nitrilotriethanol                      1687          paraffins                       1580"
"nitrobenzene                                    1556          2,4-pentanedione                1022"
"nitrobenzoic acid (o-, m- a. p-)                1557          pentanol (mixture of isomers)   1583"
nitrogen                                        1659          1 -pentanol                     1079
nitroglycol                                     1559          2 -pentanol                     1745
"nitrophenol (o-, m- a. p-)                      1560          3-pentanone                     1275"
"nitrotoluene (o-, m- a. p-)                     1562          1 -pentyl acetate               1078"
nitrotrichloromethane                           1686          1 -pentyl chloride              1080
nitrous acid                                    1622          perchloric acid                 1585
nitrous gases                                   1007          perchloroethane                 1584
"cis,cis-9,12-octadecadienoic acid               1453          perchloroethene                 1671"
octadecanoic acid                               1652          peroxosulfuric acid             1200
octadecanoic acid butyl ester                   1653          petrol-benzene mixture          1115
cis-9-octadecenoic acid                         1573          petroleum                       1309
octane                                          1566          petroleum ether                 1447
"octyloxytoluene (o-, m-, a. p-)                 1567          phenol                          1588"
"octyl tolyl ether (o-, m-, a. p-)               1567          N-phenylacetamide               1017"
oil (vegetable + animal)                        1569          phenylam ine                    1083



w w w . S i m t e c h . c o m
13
                   Chemical             Number                     Chemical              Number
N-phenylaniline                     1288          potassium bicarbonate             1387
4-phenylazoaniline                  1048          potassium bisulfate               1389
phenylethane                        1319          potassium bisulfite               1390
phenyl ether                        1289          potassium borate                  1392
phenylethylene                      1656          potassium bromate                 1393
phenylformic acid                   1116          potassium bromide                 1394
phenylhydrazine                     1590          potassium carbonate               1395
2-phenylpropane                     1242          potassium chlorate                1396
phenylsulfonic acid                 1120          potassium chloride                1397
phosgene                            1591          potassium chlorite                1398
phosphane                           1594          potassium chromate                1399
phosphine                           1594          potassium chromium(III) sulfate   1226
phosphoric acid                     1574          potassium cyanate                 1400
phosphoric acid butyl ester         1165          potassium cyanide                 1401
phosphoric acid tributyl ester      1681          potassium dichromate              1388
phosphoric acid trichloride         1597          potassium dihydrogen phosphate    1411
phosphoric acid trioctyl ester      1690          potassium ferricyanide            1330
phosphoroxy chloride                1597          potassium ferrocyanide            1329
phosphorus pentoxide                1596          potassium fluoride                1402
phosphorus trichloride              1595          potassium hexacyanoferrate(II)    1329
phosphorus(III) chloride            1595          potassium hexacyanoferrate(III)   1330
phosphorus(V) oxide                 1596          potassium hydrogencarbonate       1387
phosphoryl chloride                 1597          potassium hydrogensulfate         1389
phthalic acid                       1598          potassium hydrogensulfite         1390
phthalic acid dibutyl ester         1261          potassium hydrogen-L-tartrate     1391
phthalic acid dimethyl ester        1284          potassium hydroxide               1384
phthalic acid monobutyl ester       1600          potassium hypochlorite            1403
phthalic acid monopentyl ester      1599          potassium iodate                  1404
picric acid                         1601          potassium iodide                  1405
pivaloyl chloride                   2218          potassium manganate(VII)          1409
polyaluminium chloride              1603          potassium metaborate              1406
polydimethylsiloxane                1643          potassium nitrate                 1385
polyethylene glycol                 1604          potassium nitrite                 1407
"polyglycol, PEG                     1604          potassium perchlorate             1408"
potash                              1395          potassium permanganate            1409
potash lye                          1384          potassium peroxodisulfate         1410
potassium acetate                   1386          potassium persulfate              1410
potassium alum                      1030          potassium polyiodide solution     1381
potassium aluminum sulfate          1030          potassium sulfate                 1412



w w w . S i m t e c h . c o m
14
                 Chemical        Number                       Chemical      Number
potassium sulfide                 1413          silver nitrate              1641
potassium sulfite                 1414          silver sulfate              1642
potassium L-tartrate              1415          slaked lime                 1182
propane                           1605          soap                        1627
propanedioic acid                 1478          soap hydrous solution       1637
"1,2-propanediol                   1609          soda                        1522"
propanetriol                      1360          soda lye                    1547
propanoic acid                    1608          sodium acetate              1509
1-propanol                        1606          sodium aluminate            1510
2-propanol                        1378          sodium arsenate             1511
propanone                         1018          sodium arsenite             1512
propargyl alcohol                 1607          sodium benzoate             1119
propene oxide                     1610          sodium bicarbonate          1513
2-propenoic acid ethyl ester      1318          sodium bisulfate            1515
propenol                          1032          sodium bisulfide            1517
2-propin-1-ol                     1607          sodium bisulfite            1518
propionic acid                    1608          sodium bromate              1520
propyl alcohol                    1606          sodium bromide              1521
propylene oxide                   1610          sodium carbonate            1522
propylene chloride                1267          sodium chlorate             1524
propylene glycol                  1609          sodium chloride             1525
pure water                        1705          sodium chlorite             1526
